Utterance,Emotion,Sentiment,Dominance
"Aw, come on! It'll be years before I forget you!",neutral,neutral,-0.0525999999999999
"Joey, what's it like on a movie set, huh?",neutral,neutral,-0.0368888888888888
Do you have a chair with your name on it?,neutral,neutral,-0.0045
Uh-oh!,fear,negative,-0.432
"I gotta go Monica, my uh, my sushi's here!",neutral,neutral,-0.0201111111111111
Sorry about that. Thanks for waitin'.,neutral,neutral,-0.1019999999999999
Pants and a sweater?,anger,negative,-0.186
"Why, mom?",anger,negative,-0.0039999999999999
Who am I gonna meet in a blackout?,anger,negative,-0.0269999999999999
Could we talk about this later?,anger,negative,-0.0105
OK.,neutral,neutral,0.0
Can I borrow the phone? I want to call my apartment and check on my grandma.  What's my number?,neutral,neutral,-0.0018
"Well, I never call",neutral,neutral,-0.0175
What ‘cha doing?,neutral,neutral,0.0
What about the chick?,neutral,neutral,-0.0565
Chicks don’t swim.,neutral,neutral,-0.1473333333333333
"See, I told you they don’t swim.",neutral,neutral,-0.0502857142857142
Wait. Give him a minute.,neutral,neutral,-0.1446
"Noo!  Oh, it’s okay, it’s okay, baby, baby, baby.",fear,negative,-0.0738
"Me taking care of you is no problem, huh?",neutral,neutral,-0.0671111111111111
"Okay, I’m gonna take that spit bubble as, ""Yeah, I do!""",neutral,neutral,-0.0965454545454545
"Okay, after I get rid of this dirty diaper Leslie, I’ll set you up with a clean one.",neutral,neutral,-0.0725555555555555
"Okay, I’m sorry.",sadness,negative,-0.2699999999999999
I didn’t mean to scare you.,sadness,negative,-0.0386666666666666
Okay?,neutral,neutral,-0.234
"‘Cause let’s face it, we’re at Monica’s.",neutral,neutral,-0.0134285714285714
I broke it.,sadness,negative,-0.0866666666666666
"Okay, good.",neutral,neutral,-0.083
Why are there only two of you?,fear,negative,-0.0564285714285714
Leslie?,neutral,neutral,0.0
Where are you Leslie?,fear,negative,0.0
"Leslie, now would be a",sadness,negative,-0.0011999999999999
"Hey, why are you mopping your ceiling?",sadness,negative,-0.0815714285714285
"Oh, there’s banana on it.",neutral,neutral,-0.0924
You said she was bald.,anger,negative,-0.0928
"Yeah, she was bald, she’s not now.",neutral,neutral,-0.0791428571428571
How could you not tell me that she has hair?,surprise,negative,-0.054
"Well I’m sorry, I thought you said it was okay.",sadness,negative,-0.0519999999999999
"Yeah, I said what was okay when I thought she was some weird bald chick. I mean, y'know, that girl has hair got",anger,negative,-0.056
"Why, does she have a bad personality?",neutral,neutral,-0.0145714285714285
"Do you have a minute? I’d like to talk to you about something I’m, I’m really uncomfortable talking about.",fear,negative,-0.0274736842105263
"Whoa, for like months?",surprise,positive,-0.1235
No!,surprise,negative,0.0
"Ow! My ass. Okay. Okay.  Oh, shhh!",anger,negative,-0.0585
No! No!! It’s me! It’s me! I-I didn’t want to make any noise!,fear,negative,-0.0052307692307692
Then don't break in!!,anger,negative,-0.1485
"Oh yeah, Smokey Joe here got half way to the highway and collapsed.",anger,negative,-0.1251538461538461
Then why are you smoking?,disgust,negative,-0.1132
"Honey, I was wondering....",neutral,neutral,-0.07825
Hmm?,neutral,neutral,-0.276
"Nooo, I had to return it to the costume place.",sadness,negative,-0.053
Hmm.,neutral,neutral,-0.276
Yeah.,sadness,negative,-0.122
No.,neutral,neutral,0.0
Ugh!,disgust,negative,-0.428
"I mean if you buy a bed from Janice’s ex-husband, that’s like betraying Chandler.",anger,negative,-0.0058571428571428
Hi. Y'know in England this car would be on the other side of the store.  Woo!,joy,positive,-0.0588235294117647
"Aw, all right take this bed, you can make other friends.",joy,positive,-0.017
"Good for you.  Uh, quarters or rolls of quarters?",joy,positive,-0.0626
That's OK.,neutral,neutral,0.0
"Because you know, you could make little puppets out of them, and you could use them in your theater of cruelty.",anger,negative,-0.051095238095238
We can't do that.,neutral,neutral,-0.01675
What? What can't you do?,surprise,negative,-0.0968
She really said that?,surprise,positive,0.0
"Well, I added the 'exactly like me' part...",neutral,neutral,0.0
"But she said she's looking for someone, and someone is gonna be there tonight.",neutral,neutral,-0.0032857142857142
'Tonight' tonight?,surprise,positive,-0.034
I can't remember the last time I got a girl to take care of my monkey.,sadness,negative,-0.098375
"Hey, y'know what you should do? You should take her back to the 1890's, when that phrase was last used.",disgust,negative,-0.052
"O-kay. Look, it, it was stupid.",sadness,negative,-0.1006666666666666
Really stupid.,anger,negative,-0.3
Really stupid.,sadness,negative,-0.3
Yeah. No. No...,anger,negative,-0.0406666666666666
"Ah, the forbidden love of a man and his door.",neutral,neutral,-0.0174
You're kidding.,surprise,negative,-0.043
That’s not your regular dry cleaners.,neutral,neutral,-0.0421666666666666
A new grocery store.,neutral,neutral,-0.0325
Are you kidding? This is where they get out stains! Okay? This is like,joy,positive,-0.0335714285714285
"Oh, excuse me! I think you dropped s… Wow!",surprise,positive,-0.0645555555555555
"Oh yeah well, I’m sorry about that too, but what are you going to do?",neutral,neutral,-0.0318666666666666
A little.   Now you’re talking.,neutral,neutral,-0.0774285714285714
Would you like to go out and have a cup of coffee?,neutral,neutral,-0.0916666666666666
"Ooh, an ink stain! Hey, can I watch how you get this out?",joy,positive,-0.0892307692307692
She must’ve left.,neutral,neutral,-0.0926666666666666
Four hours? You guys have been doing this for four hours?,surprise,negative,-0.0730909090909091
No-no! Don't do it! Don't!,fear,negative,-0.0999999999999999
I'm not a dropper!,anger,negative,-0.132
"It's really a uh-uh three person game, y'know?",neutral,neutral,-0.0084999999999999
"Whoa-whoa you guys, it's not a cat!",anger,negative,-0.024
"Baking it didn't help, huh?",neutral,neutral,-0.1319999999999999
"Whoa! Whoa! Whoa, Joey!",surprise,positive,-0.1875
"No-no-no-no-no-no-no-no… It’s okay, I mean I—look Rach, I know I scared you off with that whole Naked Thursday’s thing, but we don’t have to do that!",neutral,neutral,-0.0158461538461538
"Well, it would be easier to move just right across the hall. Wait a minute, unless you’re thinking about Naked Wednesday’s.",neutral,neutral,-0.0267142857142857
"So that’s two boxes of the Holiday Macaroons. On behalf of the Brown Birds of America, I salute you.",joy,positive,-0.038
"Excuse me little one, I have a very solid backhand.",anger,negative,-0.0598
Shielding your face and shrieking like a girl... is not a backhand.,disgust,negative,-0.0095833333333333
"Good luck, and uh, take care, huh?",sadness,negative,-0.0405714285714285
It isn't.,neutral,neutral,0.0
Isn't!,anger,negative,0.0
"Okay ladies, that ends today’s class, and let’s remember, let’s be safe out there.",neutral,neutral,-0.0280714285714285
Thanks.,neutral,neutral,-0.078
"Yeah, yeah, I was watching.",neutral,neutral,-0.0487999999999999
"Umm, hey, a couple of questions though.",neutral,neutral,-0.0815714285714285
"Umm, about that-that-that last move where the woman tripped you and then pinned you to the floor, what-what-what-what would you do next?",fear,negative,-0.1058181818181818
"Well, she would take her keys and try to jam them",neutral,neutral,-0.0469090909090909
No. No-no. No. What would,anger,negative,-0.0291999999999999
Who? Me the attacker?,surprise,negative,-0.08
"I’m sorry Chandler, y’know you are such a sweet guy and I, I don’t want to hurt you.",sadness,negative,-0.0574444444444444
No-no—Really?!,surprise,positive,0.0
"Ohh, I’m sorry.",sadness,negative,-0.2753333333333333
Well maybe there is one thing you can do.,neutral,neutral,-0.1078888888888889
What?! Anything! Anything!,joy,positive,0.0
I did.  But it came at a price.,neutral,neutral,-0.0119999999999999
With a mahogany sleigh bed and bedside tables with flowers on them all the time!,joy,positive,-0.0739333333333333
And we could have a roll top desk with comment cards on them so people could say how much they loved staying here!!,joy,positive,-0.0296521739130434
"Okay, whatever, I really haven’t thought about it that much.",neutral,neutral,-0.03
"I was thinking maybe-maybe-maybe it could be a game room, y’know?",neutral,neutral,-0.0134545454545454
No.,disgust,negative,0.0
"So, that’s it?",surprise,negative,0.0
Which is why,neutral,neutral,-0.0793333333333333
Are you mocking me?,anger,negative,-0.053
"Aww, me too. Now let's finish this and go to bed.",joy,positive,-0.0892727272727272
"Okay! There's only one left, three letter word, not dog but",neutral,neutral,-0.1339090909090909
Cat.,neutral,neutral,-0.26
Why?,surprise,negative,-0.286
That's,neutral,neutral,0.0
"Hey. Okay, I gave him another chance, but Tim has",neutral,neutral,-0.0423
But,neutral,neutral,0.0
"Okay. Okay, but you can’t fire him today.",neutral,neutral,-0.054625
Why not?!,anger,negative,-0.143
Because I’m dumping him today.,neutral,neutral,-0.0478
"Okay well then, I’ll fire him today and you go out with him for another week.",neutral,neutral,-0.027125
"Are you kidding?! Another week with that sip, I’ll kill",disgust,negative,-0.0486
Okay. But the question is who’s gonna go first. ‘Cause whoever goes second is the bitch.,sadness,negative,-0.054125
"Well, I-I guess I gotta go.",sadness,negative,-0.0133333333333333
"Oh, my Bing-a-ling. I’ll wait for you. Do you even know how long you’re going to be gone?",sadness,negative,-0.0044444444444444
"Okay, good-bye. Good-bye.",sadness,negative,-0.3073333333333333
Chandler?,neutral,neutral,-0.092
No!,anger,negative,0.0
Chandler!,surprise,positive,-0.092
Janice!,surprise,positive,0.0
There you are!,surprise,positive,0.0
"I had to have one last kiss, and also-also you said that you were going to leave right after I got on the plane!",sadness,negative,-0.0252499999999999
No! No! I wanna see you take-off.,neutral,neutral,-0.0177142857142857
Hello?,neutral,neutral,-0.034
Oh hey!,surprise,positive,-0.138
"Can you, can you hang on a second?",neutral,neutral,-0.092
can you excuse me for a minute?,neutral,neutral,-0.1002857142857142
Canceled?!,surprise,negative,0.0
Like they’re taking it off the air?,surprise,negative,-0.0521428571428571
Ohh.,neutral,neutral,-0.25
We’re not even shootin’ them anymore?!!,surprise,negative,-0.0343333333333333
They canceled Mac and C.H.E.E.S.E!,anger,negative,-0.0876
Sorry.,sadness,negative,-0.576
I’m sorry Joey.,sadness,negative,-0.1919999999999999
I feel like we’re the only two people in the world.  Oops. Sorry.,joy,positive,-0.0548571428571428
What’s the matter honey? Did you see a little mouse?,neutral,neutral,-0.1394
Okay. I’ll be right back.,neutral,neutral,-0.0068
Okay.  What?! What are you doing here?!,surprise,negative,-0.011375
What are,neutral,neutral,0.0
I came with Paul!,anger,negative,-0.0445
"Yeah, I recognize the ankles!",neutral,neutral,-0.0908
Ahh. Thank you!,joy,positive,-0.108
Diet Coke,neutral,neutral,-0.205
"Ohh,",neutral,neutral,-0.25
"Perhaps. Now I’m curious, at what point during those girlish screams would you have begun to",neutral,neutral,-0.0440625
I’m leaning. This is where I lean.,neutral,neutral,-0.0531428571428571
Okay. (Goes over and fluffs up the pillows on the couch.,neutral,neutral,-0.0506363636363636
Brenda a bee!,fear,negative,-0.1273333333333333
"No, no, no. What was that?",surprise,negative,0.0
"People, people, people.",neutral,neutral,0.0
"Let's try it again, and this time let's watch everybody watch Joey.",neutral,neutral,-0.0571666666666666
Count it off.,neutral,neutral,-0.0423333333333333
"Hey, did I do these neat enough?",neutral,neutral,-0.0697142857142857
Yeah?,joy,positive,-0.122
"If anyone asks, we’ll just say Ben addressed them.  Oh! So you invited Rachel then?",surprise,positive,-0.0016874999999999
Really?,surprise,positive,0.0
"Huh? Yeah, fine, invite whoever you want.",neutral,neutral,-0.0305714285714285
Oh.,joy,positive,0.0
I don’t see the baby. Where is it?,neutral,neutral,-0.05225
Could you help me with something?,neutral,neutral,-0.067
The patient I’m looking for has a broken leg and is in a wheelchair.,neutral,neutral,-0.1091428571428571
"And umm, he’s like early to mid-thirties, very attractive.",neutral,neutral,-0.0112222222222222
"Uh, she’s with me.  Dr. Drake Remoray.",neutral,neutral,-0.012
Dr. Drake who?,neutral,neutral,-0.032
Hands.,neutral,neutral,-0.132
Hands!,neutral,neutral,-0.132
"He’s a patient of mine, I’ve been treating him for years!",neutral,neutral,-0.0062727272727272
He’s in room 816.,neutral,neutral,-0.0275
And what is his name?,neutral,neutral,-0.0244
Awww.,joy,positive,-0.214
"Okay, I’ll see you in our room.",neutral,neutral,-0.1028571428571428
"Okay, I gotta go.",neutral,neutral,-0.0865
Whoa! What?! Why?!,surprise,negative,-0.1786666666666666
"I can’t-I can’t stay here all night, and if I go in there she’s-she’s gonna wanna... do stuff.",fear,negative,-0.011
What happened?,surprise,negative,0.0
"He’s not gonna make it, he’s stuck in Chicago.",sadness,negative,-0.0604444444444444
"Stupid, useless Canadian money!",anger,negative,-0.1392499999999999
"Oh it’s umm, it’s tofu cake. Do you want some?",neutral,neutral,-0.1012
What are you doing tonight?,neutral,neutral,-0.0068
Huh? Uh,neutral,neutral,-0.241
"Oh!  Sorry. Uh, I’ve got those plans with Phoebe, why?",neutral,neutral,-0.0359999999999999
"Oh really? Uh, Monica said she had a date at 9:00.",surprise,negative,-0.0181818181818181
What?! Tonight?!,surprise,negative,-0.017
That’s what Monica said.,neutral,neutral,0.0
"Okay, is this lamp in the same place?",neutral,neutral,-0.105
Who cares? I repel women.,disgust,negative,-0.0151999999999999
No-no-no-no-no-no-no-no!!! You can't come in here! R-r-r-r-Ross is naked.,surprise,negative,-0.0747777777777777
It’s yours!,neutral,neutral,0.0
"Yeah well, I’m-I’m a slut.",sadness,negative,-0.0712
Me too.,neutral,neutral,0.0
Hi Jill!,joy,positive,0.0
Hi .,neutral,neutral,0.0
Rachel.,neutral,neutral,0.0
"Okay. So well I’ll umm,  I’ll have her home by midnight.",neutral,neutral,-0.0116666666666666
"I'm sorry, man.",sadness,negative,-0.1919999999999999
"Y'know, like-like write a play.",neutral,neutral,-0.0431999999999999
Huh?,neutral,neutral,-0.482
"Wait a second, I could star in it!",joy,positive,-0.14675
Or that.,neutral,neutral,0.0
I can't write!,anger,negative,-0.1626666666666666
I can't do it.,sadness,negative,-0.121
I'll help you.,neutral,neutral,-0.2266666666666666
"As bad as that went, I actually enjoyed myself. I think that I’m going to apologize for all of the stupid things I do.",neutral,neutral,-0.015625
Why don’t you just stop doing stupid things? Then you wouldn’t have to apologize.,neutral,neutral,-0.0521428571428571
I would really love it if I could do both.,neutral,neutral,-0.03
A hundred and forty-five pounds.,disgust,negative,-0.0603999999999999
"Yes, yes it is. It’s uh…  Every time on the lips! Why?! Why on lips?!",anger,negative,-0.0159999999999999
"Here’s Frannie. Hmm, won’t she be happy to see me?",joy,positive,-0.0154
Frannie was the one who found your,neutral,neutral,-0.003
That bitch!,anger,negative,-0.157
Monica! What,surprise,negative,0.0
Am I doing here? Why? Surprised to see me? Ross brought me. How do you like that?!,anger,negative,-0.0207647058823529
Why?!,surprise,negative,-0.286
What could I have possibly done?!,anger,negative,-0.0226666666666666
Stuart!,anger,negative,0.0
Hey ladies! What are you in here for?,neutral,neutral,-0.053
"Hey Chandler, what are you doing here?",surprise,positive,-0.0321428571428571
Yeah?,surprise,positive,-0.122
"Man to uh, me.",neutral,neutral,0.0
"Uh, are you crazy? Are you insane? If you live with Phoebe, you two are gonna be y'know, live-living together!",surprise,positive,-0.0158999999999999
You mean scared.,neutral,neutral,-0.13
"What do you mean, they’re not moving in? They-they’re still moving in right?",surprise,negative,-0.0166923076923076
What?! Over a stupid room!,surprise,negative,-0.0085999999999999
"Uh, it's 2:30 in the morning!",sadness,negative,-0.0186666666666666
"Come on, I'll only use my left hand, huh?",anger,negative,-0.1576666666666666
"I'm going,  and I'm gone.",neutral,neutral,-0.1033333333333333
Oh yeah!,joy,positive,-0.061
I’m sorry.,sadness,negative,-0.288
Ohhh. Don’t go.,sadness,negative,-0.1446666666666666
"No, I-I-I gotta go.",sadness,negative,-0.028
No. No! No! No!,sadness,negative,0.0
I don’t care!  I don’t care!!,anger,negative,0.0
"Yeah, um, I’m, I’m leaving now.",sadness,negative,-0.1611666666666666
You can’t leave! I have your shoe!,sadness,negative,-0.0555714285714285
Good-bye Chandler Bing.,sadness,negative,-0.2019999999999999
Rachel has those in burgendy.,neutral,neutral,0.0
"Oh, ew!",disgust,negative,0.0
"Um, can you roll your tongue?",neutral,neutral,-0.1906666666666666
"What, wait, you mean like this?",neutral,neutral,-0.0566666666666666
"Yeah, yeah. You can do it to.",surprise,positive,-0.0377142857142857
If you're afraid of bugs.....get a bug.,neutral,neutral,-0.1481428571428571
Hey!  Hey!,joy,positive,-0.184
Hi! Look! I got our pictures developed from Rockefeller Center.,joy,positive,-0.0098
Y’know she has a face Ross!,anger,negative,-0.0156666666666666
That is a good one!,joy,positive,-0.0288
"Wow, it looks like a, like a holiday card y’know, with the tree in the middle and the skaters and the snow.",joy,positive,-0.0161818181818181
"Y’know, every year I say I’m gonna send out holiday cards and I never do it.",neutral,neutral,-0.040125
Okay.,joy,positive,-0.234
Bye guys.,neutral,neutral,-0.133
"Okay, it’s not, it’s not.",neutral,neutral,-0.0468
"Let’s ah, let’s take a break,  let’s cool off, okay, let’s get some frozen yoghurt, or something..",neutral,neutral,-0.0304999999999999
Oh? Why not?,neutral,neutral,-0.0953333333333333
It’s the semi-finals…of her…botchy ball tournament.,neutral,neutral,-0.0239999999999999
"What’s going on Bing? Does uh, your wife have a problem with me or something?",anger,negative,-6.666666666667042e-05
"Oh no-no-no, Monica would freak.  But to hell with that bitch.",anger,negative,-0.0334999999999999
"Look at you, all sweet and innocent, sleeping like an angel...    with Emma's chubby little hands wrapped around ya.",neutral,neutral,-0.0697727272727272
"It's    okay, Emma, you stay asleep.",neutral,neutral,-0.0775555555555555
"It's okay, it's okay Rach, it's me. Put down the scrunchy.",neutral,neutral,-0.0836363636363636
No. Sorry.,sadness,negative,-0.288
"Sophie, would you please climb out of my butt. Why hasn’t he called, Rachel? Why?",anger,negative,-0.0282666666666666
And you’re upset because you didn’t make your best friend cry?,sadness,negative,-0.0011818181818181
Is that too much to ask after six years?!,anger,negative,-0.0777777777777777
Are-are-are Rachel and I not as close as you guys?!,anger,negative,-0.0382
Don’t I deserve a few tears?!!,sadness,negative,-0.1091666666666666
Hey!,anger,negative,-0.276
I did not cry my eyes out!!,anger,negative,-0.0894285714285714
It’s like the end of an era!,sadness,negative,-0.0877142857142857
"Yeah, y'know the ah, the girlfriend I told you about last night?",neutral,neutral,-0.0455
"Oh, I found it!",joy,positive,-0.005
"Oh, thank you.  Hey, hey.  Rachel!!!!",joy,positive,-0.0625
"Hi. Ohhh, you got my message.",neutral,neutral,-0.082
Ahhhh!!,surprise,positive,-0.2
"Ooh! I'm sorry! I think, I THINK, that may have missed the table!",joy,positive,-0.0866153846153846
"Ah,",neutral,neutral,0.0
Hey!,sadness,negative,-0.276
And that picture of Chi-Chi with her mischievous grin.,neutral,neutral,-0.0166666666666666
And what you said about Nana.,neutral,neutral,-0.0416666666666666
"Ohh, yeah she really would’ve wanted to be there.",sadness,negative,-0.0293333333333333
"So, you heard it, you repeated it, so that must mean you wrote it.",neutral,neutral,-0.0295714285714285
And monkeys can’t write out prescriptions.,neutral,neutral,-0.0383333333333333
"Your joke? Well, I think ‘the Hef’ would disagree, which is why he sent me a check for one hundred ah-dollars.",neutral,neutral,-0.003095238095238
I can’t find garbage bags!,anger,negative,-0.1656
"I don’t know! But maybe if we keep that drawer shut, it’ll die.",disgust,negative,-0.0587692307692307
You still haven’t told Rachel you weren’t really  proposing?,surprise,negative,-0.0415
I can do that.,neutral,neutral,-0.005
"Oh, by the  way.",neutral,neutral,-0.032
"Okay, umm, it's this tragic love story between Cathy and Heathcliff and umm, it takes place on like these really creepy mores in England.",sadness,negative,-0.0466666666666666
Which,neutral,neutral,0.0
"How would you characterize the theme of this book, uh let's see here , Rachel Green?",neutral,neutral,-0.0166875
What do you think? You in the blue shirt.,neutral,neutral,-0.0122222222222222
Would ya care to venture one?,neutral,neutral,-0.0196666666666666
Would,neutral,neutral,-0.146
Okay then.,neutral,neutral,-0.141
"And-and when she comes in hopefully, she won’t recognise you because, well, why would she?",neutral,neutral,-0.0143333333333333
"Uh, okay, and then you buzz Ross and I.",neutral,neutral,-0.0591111111111111
"Okay, which one of you guys is Gunther Central-Perk?  Hey, Joey?",neutral,neutral,-0.0525
Where’s my ring? My dead grandmother’s wedding ring? Where is it? Where is it?,fear,negative,-0.0268571428571428
"There was a ring, in a box, on my nightstand, after you left, it was gone!",anger,negative,-0.118875
"Wait, you guys think I stole some ring?",surprise,negative,-0.056
"Okay, who are you?",surprise,negative,-0.0585
"Look, I don’t need to steal some stupid ring, all right?",anger,negative,-0.0144545454545454
"I make $1,600 a week doing what I do; any of you guys make that?",anger,negative,-0.0142666666666666
Phoebe!,surprise,negative,0.0
Why?! Why can’t she marry me?!,surprise,negative,-0.0376666666666666
She’s not pregnant. It’s Rachel. Rachel’s the one who’s pregnant.,neutral,neutral,-0.0112
It’s Joey!,surprise,negative,0.0
"About a month ago this guy spent the night with Rachel, I didn’t see who it was but",disgust,negative,-0.0733333333333333
The guy left this.,neutral,neutral,-0.0465
"Ohh, let me see it! Let me see your hand!",surprise,positive,-0.1647
Why do you want to see my hand?,neutral,neutral,-0.06575
I wanna see what’s in your hand. I wanna see the trash.,disgust,negative,-0.10975
Me too!,joy,positive,0.0
Alright we’re back! Ten seconds left here we go! Ten! Nine! Eight! Seven!,joy,positive,-0.15
"Three, Two, One!",neutral,neutral,-0.2326666666666666
Cut!,neutral,neutral,-0.214
"I see. Y’know umm, Phoebe makes sock bunnies.",neutral,neutral,-0.240375
"No, she doesn’t.",neutral,neutral,0.0
"Uh Phoebe, what she makes—that’s uh—they’re sock rabbits.",neutral,neutral,-0.11725
Okay!,surprise,negative,-0.234
I didn’t make it!,sadness,negative,-0.01
I’m sorry!,sadness,negative,-0.288
I totally forgot about tonight and the fact that we’re supposed to,neutral,neutral,-0.0013333333333333
"Oh, it’s okay. I don’t",neutral,neutral,-0.0468
"No-no, it’s not okay!",sadness,negative,-0.0585
It’s not!,sadness,negative,0.0
I-I am going to,neutral,neutral,0.0
"Well, I did put a lot of thought in the tape.",neutral,neutral,-0.0401818181818181
Hello.,neutral,neutral,-0.034
Hi! It’s me.,sadness,negative,0.0
"Hey, what do you want to drink?",neutral,neutral,-0.0085714285714285
Who’s that?,surprise,negative,0.0
Nobody.,neutral,neutral,-0.518
Is it okay if I finish the apple juice?,neutral,neutral,-0.0959999999999999
Yeah! Got it!,anger,negative,-0.0406666666666666
"Hey, dinosaur guy, look at you, so sad. Come dance.",neutral,neutral,-0.0246
"Ah, that’s okay, thanks.",sadness,negative,-0.078
"Oh, okay.  Hey, two beers.",neutral,neutral,-0.1169999999999999
You wanna go in the bedroom? It’s a little more comfortable.,neutral,neutral,-0.0045454545454545
"Okay.  Oh wait! Umm, did you send those contracts to Milan?",surprise,positive,-0.0649999999999999
Like what?,neutral,neutral,-0.054
"Y’know, like the thing when you put the phone in your pants?",disgust,negative,-0.0672499999999999
Tag!,anger,negative,-0.25
"Rach, I’m sorry, but you didn’t give me any contracts!",surprise,negative,-0.0303999999999999
Yes I did! And I put a little,anger,negative,-0.058875
"I’m telling you, you never gave them to me.",neutral,neutral,-0.0311111111111111
"Y’know what Tag, if we went down to the office you would see those contracts sitting on your desk.",anger,negative,-0.0353684210526315
"No, I would see you looking embarrassed because they are",anger,negative,-0.0992
Or maybe you would see me looking embarrassed because you are talking on the phone with your crotch!,disgust,negative,-0.0752222222222222
You wanna go down to the office right now?,neutral,neutral,-0.0126666666666666
"No! Come on its late, we’re not gonna go down to the office.",anger,negative,-0.0644615384615384
"Hey Ross, this is one of my co-stars, Dirk.  Dirk, this    is my good friend Ross.",neutral,neutral,-0.0113
Oh and I need to talk to you.,neutral,neutral,-0.0515
About what?,neutral,neutral,0.0
"Pheebs, how’s it going?",neutral,neutral,0.0
"Nope, sound like me. Pheebs, it’s going great. Look at Chandler with little baby girl Chandler.",joy,positive,-0.0556249999999999
"Little baby girl Chandler, where I have heard that before?",neutral,neutral,-0.0939999999999999
Forgive me? You haven't been taking my calls in a week!,anger,negative,-0.0398181818181818
"Uh, what was that?",surprise,negative,0.0
"Uh,",neutral,neutral,0.0
"...I'm, I'm okay.",neutral,neutral,-0.078
"That sounds good. I'll call you- or you call me, whatever...",neutral,neutral,-0.0685454545454545
Bye.,neutral,neutral,-0.358
Whoo-hoo!,joy,positive,0.0
"Yeah, there you go!",joy,positive,-0.0584999999999999
Second date!,joy,positive,-0.35
...I dunno.,neutral,neutral,-0.115
"Well, she seems very nice and everything, but that whole thing about her coming all the way down here, just to see if I was okay?",anger,negative,-0.0007307692307692
