Utterance,Emotion,Sentiment,Dominance
Remember when you where a kid and your Mom would drop you off at the movies with a jar of jam and a little spoon?,neutral,neutral,-0.0989599999999999
"Hey, Phoebe.",neutral,neutral,-0.138
"Hey, oh, you know that guy who's been following me? I talked to him today.",neutral,neutral,-0.001
You talked to him. Are you crazy?,surprise,negative,-0.0458571428571428
"Now, that's trash. Young lady, you can't…  Hey! Stop that young lady, she donated trash!",anger,negative,-0.0864375
Hey!!,anger,negative,-0.276
Help!,fear,negative,-0.08
"Thank you, I need that.",joy,positive,-0.1095999999999999
Whoa!,surprise,negative,-0.25
It's nine o'clock in the morning!,surprise,negative,-0.0763333333333333
Can I help you?,neutral,neutral,-0.043
"Oh, you’re kidding me!",anger,negative,-0.0215
"Oh really? Well, maybe you and I go out for drinks?  You’re the other one right?",neutral,neutral,-0.0486470588235294
"Yeah, and it really freaked me out! And after a while I even tried to hurt you and it just spurred you on.",sadness,negative,-0.011695652173913
What?! You’re crazy! There’s nothing sexual about the noises I make!,surprise,positive,-0.0559090909090909
What are you looking at?!,anger,negative,0.0
"No, you can’t let this stop you from getting massages!",sadness,negative,-0.0802
Really?!,surprise,negative,0.0
I guess.,neutral,neutral,-0.058
"Thanks for the coffee, or bedankt voor de koffie, Gunter.",neutral,neutral,-0.0418
"Yeah, we’re done.",neutral,neutral,-0.0406666666666666
Ezel? Ezel? Ezel?,surprise,negative,0.0
"Hey Ross! Listen, do you want to go see that new Imax movie on tide pools?",joy,positive,-0.0255
"No. But I got Knicks tickets for you, me, and Chandler.",neutral,neutral,-0.0165454545454545
Sweet!,joy,positive,-0.236
"Ah, no-no-no just Ross. Ross and Joey is embarrassing enough.",disgust,negative,-0.0243999999999999
"Uh actually, sorry I can’t even make it. I’m seeing Mona again tonight.",neutral,neutral,-0.0361538461538461
I understand: who would cancel an actual date to go to a fake bachelor party?,neutral,neutral,-0.0085333333333333
I’m sorry I gotta cancel tonight baby,sadness,negative,-0.1377142857142857
"She is kidding, but don't ever disagree with her again. Okay, now I'm kidding!",joy,positive,-0.0635714285714285
"I don't know which one, but I do know I need a cigarette.",neutral,neutral,-0.05
Rachel? Do you smoke?,neutral,neutral,-0.0365
Peach pit.,neutral,neutral,-0.45
"Yes, Bunny?",neutral,neutral,-0.2645
"Peach pit. That night we, uh- we had-",neutral,neutral,-0.03225
-Peaches?,neutral,neutral,-0.456
"Actually, nectarines, but basically...",neutral,neutral,-0.037
Could've been a peach.,neutral,neutral,-0.114
"Hey, that woman's got an ass like Carol's!  What? Thought we were trying to find stuff.",joy,positive,-0.0067647058823529
Westminster Abbey!,joy,positive,-0.056
"Hands down, best Abbey I’ve ever seen.",joy,positive,-0.0377142857142857
Really? To what?,surprise,negative,0.0
To Put the Camera Away!!!,anger,negative,-0.1036
"Man,",neutral,neutral,0.0
"Y'know, I can't believe I'm getting my nails done!  And",surprise,negative,-0.0772727272727272
That’s a mailman! That’s,surprise,negative,-0.019
"Chandler, don’t worry! This doesn’t make you any less of a guy!",neutral,neutral,-0.1063333333333333
"Hey, you know who used to have nails like that?",neutral,neutral,-0.0652
Rachel?,neutral,neutral,0.0
"Do you remember when you first came here, how you spent two weeks getting trained by another waitress?",neutral,neutral,-0.0208333333333333
"Good one. Actually, ah, Terry wants you to take the training again, whenever.",neutral,neutral,-0.0027692307692307
"No, you said the baby creeps you out.",neutral,neutral,-0.046
"No, the little girl creeps me out.",anger,negative,-0.1217142857142857
You said the baby.,neutral,neutral,-0.0225
Why would the baby creep me out?,anger,negative,-0.1142857142857142
Why would the little girl creep you out?,anger,negative,-0.1604999999999999
"You guys, I’m sorry, could you please talk a little slower?",neutral,neutral,-0.1710909090909091
What?! Excuse me!,surprise,negative,-0.1213333333333333
And how none of it matters when the people really love each other.,neutral,neutral,-0.0224615384615384
"Okay, why don’t we all uh,  open our books to page 23.",neutral,neutral,-0.0109230769230769
"Okay,  umm, why don’t, why don’t you all start to read, while I—",neutral,neutral,-0.0299285714285714
What the? What,surprise,negative,0.0
Miss? May I help you?,neutral,neutral,-0.1548
"Okay look, don't...don't be mad okay?",fear,negative,-0.096
"But after I unpacked the boxes I wanted to do something nice for you, so, I-I-I cleaned the apartment.",neutral,neutral,-0.003578947368421
"So I moved everything around and then I forgot where it, where it went back and I'm sorry, I'm very sorry, I'm sorry, I'm sorry.",sadness,negative,-0.12896
"It's okay. Chandler, are you afraid of me or something?",neutral,neutral,-0.0854999999999999
Do you want me to be afraid of you?,neutral,neutral,-0.017
"I know I have this weird thing where I want everything to be in the perfect place, but I'd never expect you to worry about that.",joy,positive,-0.0239615384615384
"A Magic Eight ball?! You can't be serious, you can't make this decision with a toy!",disgust,negative,-0.072375
"Ooh, it's not a toy.",anger,negative,-0.1432
"I mean, I either keep my wife and lose one of my-my-my best friends or I keep my friend and get divorced the second time before I'm 30!",anger,negative,-0.0134285714285714
'Cause I-I got nothing!,anger,negative,-0.007
"Magic 8 Ball, should I never see Rachel again?",neutral,neutral,-0.0431111111111111
Ask again later.,neutral,neutral,-0.1319999999999999
Later is not good enough.,anger,negative,-0.0992
This is broken!,anger,negative,-0.122
It-it is broken!,anger,negative,-0.122
Excuse me.,neutral,neutral,-0.182
Are you Phoebe Buffay?,neutral,neutral,0.0
"Come on, two on one.",neutral,neutral,-0.0448
"You're like, like the anti-Paolo!",anger,negative,-0.0432
She's distraught.,neutral,neutral,-0.236
"Ohh, sweetie!  Hey, I bet you anything that he’s gonna call you again.",sadness,negative,-0.0399999999999999
"Yeah, maybe, but I don’t think I even care.",sadness,negative,-0.0325555555555555
I don’t think he’s the one I’m sad about.,sadness,negative,-0.0806666666666666
"Yeah, maybe.",sadness,negative,-0.2644999999999999
"And if she didn’t take it, and I didn’t take it; and you  didn’t take it, then who did?",anger,negative,-0.048
Shh!,anger,negative,0.0
I got in there myself once.,neutral,neutral,-0.001
It was funny ‘til I started feeling like I was in a coffin.,neutral,neutral,-0.0175384615384615
"No, you, you can’t fit in that thing. That’s not deep enough.",neutral,neutral,-0.0139999999999999
"Oh yeah?  If I can’t, I’ll knock five bucks off the price off the unit.",anger,negative,-0.0017499999999999
Okay.  See?! I told ya!,surprise,positive,-0.1073333333333333
Hey Joey!,joy,positive,-0.138
Erin! Still here!,joy,positive,-0.0793333333333333
I think I brought back half of the beach in my hair. It was so much easier when I used to shave my head.,anger,negative,-0.0735
"Awww, stop. Come on. Now go shave that head!",neutral,neutral,-0.0073333333333333
"Oh, Monica. You are not still going over that thing.",sadness,negative,-0.0193999999999999
She buys tickets for plays that I wanna see.,anger,negative,-0.0584444444444444
"She, she buys clothes from stores that I'm intimidated by the sales people.",anger,negative,-0.044
She spent three hundred dollars on art supplies.,anger,negative,-0.0084999999999999
I can't believe you would actually say that. I would much rather be Mr.Peanut than Mr.Salty.,surprise,negative,-0.033875
"I don't know, you don't wanna mess with corn nuts. They're craaazy.",neutral,neutral,-0.121
"Oh, that is so sick.",disgust,negative,-0.1359999999999999
I feel violated. And not in a good way.,disgust,negative,-0.0958888888888888
"How can people do that?...  Oh, you guys, look! Ugly Naked Guy got gravity boots!",surprise,negative,-0.028125
Nothing.,neutral,neutral,0.0
What is it? Hey!,sadness,negative,-0.057
What are you talking about alone? What about Ross?,surprise,negative,-0.0631111111111111
"Yeah, I guess so.",neutral,neutral,-0.0595
"Chandler, we said we would meet at the coffeehouse at six.",anger,negative,-0.008
We said six!,anger,negative,-0.0136666666666666
"The only way that I said six would be if the seven’s, let meet at seven, not at six.",neutral,neutral,-0.0795263157894736
Joey!,surprise,negative,0.0
"Whoa-whoa-whoa-whoa, I-I—Hey! I did",anger,negative,0.0
Oh please.,neutral,neutral,-0.071
Y’know?,neutral,neutral,0.0
"Besides, somebody had to ride in that other taxi with the rest of your luggage, and your friends don’t really seem to care too much that you’re leaving.",sadness,negative,-0.0561428571428571
"Well, we’re really not that close.  Okay, so I guess this is uh, good-bye then.",neutral,neutral,-0.0637499999999999
"On no! No! It’s not good-bye, I’m not leaving until you get on that plane.",sadness,negative,-0.0256
"Yeah, I was going for the metaphor.",neutral,neutral,-0.0199999999999999
"Plus, it was, it was probably mostly my fault, anyway.",sadness,negative,-0.0143
: Yeah!,joy,positive,-0.061
"July. Umm,",neutral,neutral,-0.21
"Yeah, I… Well I really actually wanted to say umm, that, but um, I figured I probably shouldn’t because y’know, I…have to leave.",neutral,neutral,-0.0423043478260869
Bye Phoebe.,neutral,neutral,-0.179
Ohhh!,surprise,negative,-0.322
No!,neutral,neutral,0.0
"I mean, I don’t remember much about last night, it was such a blur.",neutral,neutral,-0.0712857142857142
Oh! I remember laughing! I laughed a lot.,joy,positive,-0.0355
Tell me about it.,neutral,neutral,-0.0215
"Janice, what umm, what are you doing here?",sadness,negative,-0.034625
What’s that smell?,disgust,negative,-0.1133333333333333
"Um, okay. You just called a little while ago about needing a signature on the admissions form. Well, it turns out we need a",neutral,neutral,-0.0191666666666666
I am. I'm,neutral,neutral,0.0
"Hey, Mon, if you were hoping to sleep with Joshua the first time tonight, which one of these would you want to be wearing.",neutral,neutral,-0.0011666666666666
Y’know what? It,neutral,neutral,0.0
Sorry.,neutral,neutral,-0.576
I’m so exited!,joy,positive,0.0
I’ve been waiting for this for months!,joy,positive,-0.0611428571428571
I got my hair coloured!,joy,positive,-0.0856
I got new sheets!,joy,positive,-0.058
What am I making him by the way?,neutral,neutral,-0.015375
"Well, you’re making him a frieze salad with goat cheese and pine nuts, wild nuts, wild rice, roast asparagus, and salmon au croup.",neutral,neutral,-0.1231304347826086
I thought I was making him filet mignon?,surprise,negative,-0.049125
"And then you realised if you  bitched about it, then you  would stop cooking, and you  would have to make your famous baked potato and Diet Coke.",anger,negative,-0.0018333333333333
"Chandler! It happens to lots of guys! You-you-you were probably tired, you had a lot of champagne, don’t worry about it!",sadness,negative,-0.0638095238095238
"Y’know it’s like uh, Biology!",neutral,neutral,-0.0032
"Check it out. Okay, I can play this when the guests are coming in. Okay.",neutral,neutral,-0.0349333333333333
Phoebe!,joy,positive,0.0
"If you would’ve let me finish, it goes on to say that he’s probably not gay.",neutral,neutral,-0.0103125
You are falling fast asleep.,neutral,neutral,-0.1188
Deeper.,neutral,neutral,0.0
You are now completely asleep.,neutral,neutral,-0.0167999999999999
You don’t need to smoke.,neutral,neutral,-0.1636
"Thank you for your patience, you’re the next caller.",neutral,neutral,-0.0041111111111111
Hey! Can you take a duck and a chick to the theatre?,neutral,neutral,-0.0999999999999999
Okay. I just wanted them to hear it from somebody else.,neutral,neutral,-0.0092727272727272
"Okay, Ben, I won’t tell your daddy that you had ice cream for dinner, if you don’t tell about our little bonking incident.",fear,negative,-0.0698695652173913
You said number two.,neutral,neutral,-0.0625
I also said number one.,neutral,neutral,-0.0636
Remind me to review with you which pot is decaf and which is regular.,neutral,neutral,-0.0068571428571428
"Because, I don’t care.",neutral,neutral,0.0
I don’t care.,neutral,neutral,0.0
"I don’t care which pot is regular and which pot is decaf, I don’t care where the tray spot is, I just don’t care, this is not what I want to do.",anger,negative,-0.0205
I’m gonna give you my weeks notice.,sadness,negative,-0.0557142857142857
"Gunther, I quit.",sadness,negative,-0.008
Does this mean we’re gonna have to start paying for coffee?,surprise,negative,-0.0125454545454545
"I know.  Yeah, his name is Pat.",neutral,neutral,-0.0195
Pat the dog. Oh! Oh! I get it!!,joy,positive,-0.0215
"Umm, can I use your bathroom?",neutral,neutral,-0.1241666666666666
"Please, just a little bit off the back.",neutral,neutral,-0.147625
"I'm still on ""no.""",neutral,neutral,-0.08125
"Uh, morning. Do you guys think you could close your eyes for just a sec?",neutral,neutral,-0.0039333333333333
"Well, I sorta did a stupid thing last night.",neutral,neutral,-0.1955555555555555
What stupid thing did you do?,neutral,neutral,-0.168
Ewww!,disgust,negative,0.0
"See, yes.",neutral,neutral,-0.1465
But in very different ways.,neutral,neutral,-0.0334
Hey!,surprise,positive,-0.276
"I did! But the store wouldn’t take her back! So then I took her to the shelter, and you know what I found out?",anger,negative,-0.0082083333333333
"If they can’t find a home for her, they kill her! And I’m not gonna let that happen to little Yasmine!",anger,negative,-0.0079999999999999
"Okay, good, good, good, ‘cause, good, ‘cause I was kinda having second thoughts too.",fear,negative,-0.0057142857142857
Okay. And it’s not just chicks y'know? It’s all kinds of other animals!,disgust,negative,-0.0017692307692307
"That’s horrible! Well, you did the right thing man.",disgust,negative,-0.0128888888888888
"Thanks, I’m glad you see it that way.",joy,positive,-0.01675
"Uhh, yeah. She uh, she uh, she uh might've mentioned him.",neutral,neutral,-0.0077272727272727
Really?! That's what you heard?  You said that?,surprise,positive,-0.0144444444444444
I might've said that.  Why is that funny?,neutral,neutral,-0.0117777777777777
Hi!,sadness,negative,0.0
Fish!,surprise,negative,-0.5
"Yay, okay!",joy,positive,-0.272
Um...  Done!,neutral,neutral,-0.2063333333333333
"Okay, it’s coffee.",neutral,neutral,-0.2053333333333333
Ice coffee? Tell me it’s ice coffee!,surprise,negative,-0.282
Hot coffee!!!,surprise,negative,-0.118
You idiot!!,anger,negative,-0.4435
"What are you just some big, dumb, stupid, doofy idiot, with a doofy idiot hairdo, huh?!",anger,negative,-0.1584999999999999
"Umm, going to the beach. When it stays light real late.",neutral,neutral,-0.0254545454545454
Yeah,neutral,neutral,-0.122
"Ooh, I don’t know. Probably the smell of freshly cut grass.",neutral,neutral,-0.0577272727272727
"Ohh, that’s a good one.",joy,positive,-0.0884
"OK, try this salmon mousse.",neutral,neutral,-0.0528
Is it better than the other salmon mousse?,neutral,neutral,-0.0119999999999999
It's creamier.,neutral,neutral,0.0
"Ooh, you know, I had a grape about five hours ago, so I'd better split this with you.",neutral,neutral,-0.0486666666666666
I thought it was gonna be a closed casket.,neutral,neutral,-0.0551111111111111
I don't see why not.,neutral,neutral,-0.1896
Here's my retainer!,neutral,neutral,-0.0483333333333333
Someone in there?,neutral,neutral,-0.0226666666666666
"Jeez, man did you fall.. Hi! So ah, did ya, did-did-did ya fall high?",surprise,positive,-0.0895714285714286
"Someone was in the lady's room, I couldn’t wait. I left the lid up for ya though.",neutral,neutral,-0.036235294117647
"Y'know what Gunther, go ah, go ahead, I’m-I’m talking to ah, .  This is the part where you say your name.",neutral,neutral,-0.002590909090909
Ginger.,neutral,neutral,0.0
"Ginger. I’m talking to Ginger, so....",neutral,neutral,0.0
Don’t you have to use the bathroom?,neutral,neutral,-0.0437142857142857
"Nope, nope, I’d just ah, I’d rather talk to you.",neutral,neutral,-0.0619999999999999
"Yes, I do have to go to the bathroom.",neutral,neutral,-0.009
"Oh, my baby!",sadness,negative,-0.03
Can I get some ice here?!,sadness,negative,-0.0295
You’re not the fan who’s dying are you?,neutral,neutral,-0.0552499999999999
Who told you that?,surprise,negative,-0.0085
Which one? Was it bald or was it tall?,surprise,negative,-0.072
Yeah! Okay!  Hey! Hi!,joy,positive,-0.1264
$4.50 please.,neutral,neutral,-0.071
"Oh, let me get this.    These are for you.",neutral,neutral,-0.0008333333333333
It's been fourteen and a half minutes and you still have not said one word.,anger,negative,-0.1074
There you go!,joy,positive,-0.0373333333333333
Would you like to call somebody?,neutral,neutral,-0.0696666666666666
Oh,neutral,neutral,0.0
"Okay, very cute braces. Anyway y’know what, the",neutral,neutral,-0.032125
So when do you imagine you gave them to me? In the morning or in the afternoon?,anger,negative,-0.0110588235294117
"In the afternoon. Mr. Zelner came into my office after lunch. He put them on my desk, and then I put a",neutral,neutral,-0.0098181818181818
"Okay, well maybe not on those levels.",neutral,neutral,-0.0607142857142857
"I’m never gonna find a roommate, ever.",sadness,negative,-0.0382857142857142
"Why, nobody good?",neutral,neutral,-0.2453333333333333
"Well let’s see, there was the guy with the ferrets, that’s plural.",disgust,negative,-0.0176666666666666
The spitter.,disgust,negative,-0.1665
Two.,neutral,neutral,-0.192
"This photographer, who seemed really dull.",neutral,neutral,-0.0843333333333333
"Umm, how’s it going with you guys?",neutral,neutral,-0.0468571428571428
"Oh, really?",surprise,positive,0.0
What-what are-what are these?,surprise,negative,0.0
"No-no-no, no!",fear,negative,0.0
That’s crazy.,surprise,negative,-0.179
"Hey, Peter!",neutral,neutral,-0.138
It’s me Rhonda!,neutral,neutral,0.0
From PS-129!,neutral,neutral,0.0
I gave you my,neutral,neutral,0.0
I-I think everybody’s pretending they don’t hear you.,neutral,neutral,-0.03025
"How’s that coffee comin,’ dear?",neutral,neutral,-0.0248
"I’m not supposed to drink coffee, it makes me gassy.",neutral,neutral,-0.1108
Op.,neutral,neutral,-0.302
Eh.,joy,positive,0.0
"Oh, you got me.",neutral,neutral,0.0
How does that sound?,neutral,neutral,-0.059
No. But thanks.,neutral,neutral,-0.026
Okay. No. But thanks.,neutral,neutral,-0.078
"Okay, ah, see ya Pheebs.",neutral,neutral,-0.122
"Once you, once you betray me, I become like the ice woman, y’know.",neutral,neutral,-0.0569230769230769
"I'm, I'm really sorry.",neutral,neutral,-0.144
"Yeah, I'm sorry too. But, I gotta tell you, I am a little relieved.",neutral,neutral,-0.1125714285714285
Relieved?,surprise,positive,-0.218
Does that seem like something you can do.,anger,negative,-0.1075
Does it?!,anger,negative,-0.164
No?,surprise,negative,0.0
Yeah I guess I’ll let it go.,neutral,neutral,-0.1051428571428571
But you-you understand how-how hard it is to forget about this.,sadness,negative,-0.0014545454545454
"Oh, wait a second! I didn’t say I wasn’t free!",surprise,positive,-0.092
"Hold on, y’know I",neutral,neutral,-0.054
"Oh well, that’s uh, a little later than I uh, generally care to stay, but sure!",joy,positive,-0.0129999999999999
"Maybe, before the game we could enjoy some eight year old some small batch Basel Hadens.",neutral,neutral,-0.10325
"Yeah, save it for the cab, okay.",disgust,negative,-0.0154285714285714
For the ride.,neutral,neutral,-0.0046666666666666
"Yeah, like in a cab...",neutral,neutral,-0.0776
"Okay, hating this.",disgust,negative,-0.122
"Monica, come on now. Let's go, baby coming.",neutral,neutral,-0.048
"I can't belive it, I'm gonna be an aunt. I'm gonna have like a nephew.",joy,positive,-0.0569333333333333
"Rossy, Rossy.",neutral,neutral,0.0
"Oh, oh, a quality, good, because I was worried you guys were gonna be vague about this.",neutral,neutral,-0.0061176470588235
"Hello? Hello? Oh! Rachel, it's Paolo calling from Rome.",joy,positive,-0.0113333333333333
"So um, so what's up, you came to see me yesterday.",joy,positive,-0.1009999999999999
"Oh, yeah, um, alright, I kinda need a divorce.",neutral,neutral,-0.1685555555555555
Ben! Ben! Ben!,joy,positive,0.0
Which I'm not.,neutral,neutral,0.0
Joe...Joe...Joe...Stalin?,neutral,neutral,0.0
"Well, it does not ring a bell with me...",neutral,neutral,-0.0268888888888888
"Oh yes! Bye Bye Birdie, starring Joseph Stalin. Joseph Stalin is the Fiddler on the Roof.",joy,positive,-0.0250624999999999
"Okay, look.",neutral,neutral,-0.002
Monkey into man?,anger,negative,-0.1446666666666666
I’m not arguing with that.,neutral,neutral,0.0
You are both idiots.,disgust,negative,-0.2125
Now let it go!,anger,negative,-0.1164999999999999
The joke sucks!,anger,negative,-0.2546666666666666
It’s your joke.,neutral,neutral,-0.0363333333333333
"Hey everybody, Rachel was so good today. She didn't gossip at all.",joy,positive,-0.04625
I didn’t!,joy,positive,0.0
"Hey, Pheebs! Check-check this out.",joy,positive,-0.0552
"Ooh, you nailed the Old Lady!",surprise,positive,-0.0103333333333333
"Yeah listen so, I thought I was getting better, so on my way home today I stopped by this guitar store and",neutral,neutral,-0.0251363636363636
"Did you, did you",anger,negative,0.0
Then don't touch one!!,anger,negative,-0.1709999999999999
Thanks!,joy,positive,-0.078
Done!,joy,positive,0.0
And it can't be Joey.,neutral,neutral,-0.0896
It's not.,neutral,neutral,0.0
Or Joseph.,neutral,neutral,0.0
"Hi! Hey, Pete you’re back! Hey, check this out.",joy,positive,-0.0751111111111111
Wow! You’re a lot sturdier that Chandler. He crumpled like a piece of paper. So how was you’re trip?,surprise,positive,-0.0475263157894736
"Oh, what’d ya bring me?!",joy,positive,-0.0152
"Awww, hotel toiletries from Japan.",joy,positive,-0.1146
You want some coffee?,neutral,neutral,-0.0465
Regular or decaf?,neutral,neutral,-0.0593333333333333
So ask me what I did today.,neutral,neutral,-0.0511428571428571
So what did you do today Pete?,neutral,neutral,-0.0291428571428571
What?! Oh.,surprise,negative,0.0
Where've you been?,neutral,neutral,0.0
"She's not gonna make you wear one of those big plastic cones, is she?",fear,negative,-0.0618571428571428
So what does this mean?,neutral,neutral,-0.0176
May I come in?,neutral,neutral,-0.0985
"And um, what-what is that Ross?",neutral,neutral,-0.0951666666666666
What?! Are you crazy?,surprise,negative,-0.0895
Oh so-so you weren't trying to entice me just now with your-your nakedness?,surprise,positive,-0.0098461538461538
You weren't trying to entice me with your nakedness.,joy,positive,-0.0472222222222222
No! No!  No!  No-no-no-no.,joy,positive,0.0
Ah Joey.,neutral,neutral,0.0
Joey Tribbiani.,neutral,neutral,0.0
"Aw come on Joey, it's easy.",neutral,neutral,-0.0136666666666666
"Y'know, it's hand, hand, head, head,  up, pas de bouree, pas de bouree, big turn here, grand sissone, sissone, sissone, slide back, step, step, step, and jazz hands!",neutral,neutral,-0.0184482758620689
"It's ah, step-ity, step and jazz hands.",sadness,negative,-0.0768571428571428
"Oh, I can't believe my sperm have low motility because, let me tell you, when I was growing up they sure seem to be in a hurry to get places!",surprise,negative,-0.0159333333333333
Hi there.,neutral,neutral,0.0
"Oh, DAMN IT!",anger,negative,-0.046
"Don't worry, after a while he'll tune it out.",neutral,neutral,-0.1151111111111111
Yeah! C'mon!,joy,positive,-0.271
"Thanks. Yeah, Carol borrowed it for a class, and I have to get it back to the museum.",neutral,neutral,-0.0048888888888888
Kinda like a big face without skin.,neutral,neutral,-0.0411428571428571
"Well, you know, you have to take a course. Otherwise, they don't let you do it.",neutral,neutral,-0.022125
"Hey, hey, Yertle the Turtle. A classic.",joy,positive,-0.1084285714285714
"Actually, I'm reading it to the baby.",neutral,neutral,-0.0371428571428571
"The uh, the baby that hasn't been born yet? Wouldn't that mean you're... crazy?",surprise,positive,-0.0135714285714285
"What, you don't think they can hear sounds in there?",joy,positive,-0.0457999999999999
Put Joey on the phone.,neutral,neutral,-0.0176
I'm trppd... in an ATM vstbl... wth,fear,negative,-0.0102857142857142
"Yeah, like that thought never entered my mind.",neutral,neutral,-0.021
And then the florist phoned to say there aren’t any tulips.,neutral,neutral,-0.0541818181818181
"Oh, and the chilliest has carpel-tunel syndrome.",neutral,neutral,-0.0725714285714285
"Whoa-whoa-whoa! Emily,  honey, okay?",surprise,negative,-0.0428
Where’s Chandler?,neutral,neutral,-0.046
Joey? Joey Tribbiani?,neutral,neutral,0.0
Joey I can see you okay? You’re hiding behind the coats.,neutral,neutral,-0.1049090909090909
"Okay listen, just give me anything I can make two of.",neutral,neutral,-0.013090909090909
"Well, if you don’t have anything to copy, why are you going down there?",neutral,neutral,-0.0641428571428571
"Yeah, are you just going down there to gawk at that hot girl with the belly button ring again?",anger,negative,-0.0334736842105263
Yeah! You wanna come?,joy,positive,-0.0014999999999999
All right. We're gonna go.  It's not for another six hours. We're gonna go then.,neutral,neutral,-0.0158124999999999
Someone on the subway licked my neck! Licked my neck!!,disgust,negative,-0.0703999999999999
"Oooh, I’m afraid that does not exist.",neutral,neutral,-0.0758571428571428
"Yeah, I’m not in that.",neutral,neutral,-0.0243999999999999
"Yeah that’s great! Next to that, Chandler won’t look so stupid.",neutral,neutral,-0.0065454545454545
Chandler what do you say?,neutral,neutral,-0.0112
Gimme them!,anger,negative,0.0
You stole them from me!,anger,negative,-0.0464
You stole them from me!!,anger,negative,-0.0464
You just wanna each take one?,neutral,neutral,-0.0066666666666666
"Look, I really need some help, okay? Why? Why did I have to speak in a British accent?! What do I do?",anger,negative,-0.0412727272727272
Why don’t you phase it out?,neutral,neutral,-0.0536666666666666
They’re not listening too me?,surprise,negative,0.0
